Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
145.0,Aceite de Girasol Cañuelas 1.5 Lt,Aceite de Girasol Cañuelas 1.5 Lt,Buenos Aires,CABA Y PBA,Aceites,7792180001665,Cañuelas,Aceite de Girasol
95.0,Aceite de Girasol Cañuelas 900 Cc,Aceite de Girasol Cañuelas 900 Cc,Buenos Aires,CABA Y PBA,Aceites,7792180001641,Cañuelas,Aceite de Girasol
139.0,Aceite de Girasol Cocinero 1.5 Lt,Aceite de Girasol Cocinero 1.5 Lt,Buenos Aires,CABA Y PBA,Aceites,7790060023684,Cocinero,Aceite de Girasol
95.0,Aceite de Girasol Cocinero 900 Ml,Aceite de Girasol Cocinero 900 Ml,Buenos Aires,CABA Y PBA,Aceites,7790070012050,Cocinero,Aceite de Girasol
157.0,Aceite de Girasol Natura 1.5 Lt,Aceite de Girasol Natura 1.5 Lt,Buenos Aires,CABA Y PBA,Aceites,7790272001029,Natura,Aceite de Girasol
99.0,Aceite de Girasol Natura 900 Ml,Aceite de Girasol Natura 900 Ml,Buenos Aires,CABA Y PBA,Aceites,7790272001005,Natura,Aceite de Girasol
262.0,Aceite de Maíz Arcor 900 Ml,Aceite de Maiz Arcor 900 Ml,Buenos Aires,CABA Y PBA,Aceites,7790580160807,Arcor,Aceite de Maíz
208.0,Aceite de Maíz Mazola 900 Ml,Aceite de Maiz Mazola 900 Ml,Buenos Aires,CABA Y PBA,Aceites,7790272000794,Mazola,Aceite de Maíz
123.0,Aceite Mezcla Cocinero 1.5 Lt,Aceite Mezcla Cocinero 1.5 Lt,Buenos Aires,CABA Y PBA,Aceites,7790070225023,Cocinero,Aceite Mezcla
98.0,Aceite Mezcla Ideal 1.5 Lt,Aceite Mezcla Ideal 1.5 Lt,Buenos Aires,CABA Y PBA,Aceites,7790070228406,Ideal,Aceite Mezcla
163.0,Aceite Rocío Vegetal Girasol en Aerosol Natura 120 Cc,Aceite Rocio Vegetal Girasol en Aerosol Natura 120 Cc,Buenos Aires,CABA Y PBA,Aceites,7790272000831,Natura,Otros Aceites
55.0,Aceitunas Verdes Clásicas Doy Pack Castell 100 Gr,Aceitunas Verdes Clasicas Doy Pack Castell 100 Gr,Buenos Aires,CABA Y PBA,"Encurtidos, Aceitunas y Pickles",7791675350011,Castell,Aceitunas Verdes
98.0,Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr,Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr,Buenos Aires,CABA Y PBA,"Encurtidos, Aceitunas y Pickles",7792070001102,Nucete,Aceitunas Verdes
202.0,Acelga Congelada Granja Del Sol 500 Gr,Acelga Congelada Granja Del Sol 500 Gr,Buenos Aires,CABA Y PBA,Vegetales,7790070032669,Granja del Sol,Vegetales
305.0,Acondicionador Balance Sedal 650 Ml,Acondicionador Balance Sedal 650 Ml,Buenos Aires,CABA Y PBA,Cuidado del Cabello,7791293031149,Sedal,Acondicionador
179.0,Acondicionador Brillo Luminoso Plusbelle 1 Lt,Acondicionador Brillo Luminoso Plusbelle 1 Lt,Buenos Aires,CABA Y PBA,Cuidado del Cabello,7790740502393,Plusbelle,Acondicionador
305.0,Acondicionador Ceramidas Sedal 650 Ml,Acondicionador Ceramidas Sedal 650 Ml,Buenos Aires,CABA Y PBA,Cuidado del Cabello,7791293027319,Sedal,Acondicionador
180.0,Acondicionador Frescura y Vitalidad Plusbelle 1 Lt,Acondicionador Frescura y Vitalidad Plusbelle 1 Lt,Buenos Aires,CABA Y PBA,Cuidado del Cabello,7790740502409,Plusbelle,Acondicionador
179.0,Acondicionador Nutrición Creme Plusbelle 1 Lt,Acondicionador Nutricion Creme Plusbelle 1 Lt,Buenos Aires,CABA Y PBA,Cuidado del Cabello,7790740502423,Plusbelle,Acondicionador
