Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
289.0,Aceite Bebé Puro Johnsons Baby 200 Cc,Aceite Bebe Puro Johnsons Baby 200 Cc,Chubut,Patagonia,Cuidado del Bebe,7790010959797,Johnson's,Despues del Baño
152.0,Aceite de Girasol Cañuelas 1.5 Lt,Aceite de Girasol Cañuelas 1.5 Lt,Chubut,Patagonia,Aceites,7792180001665,Cañuelas,Aceite de Girasol
99.0,Aceite de Girasol Cañuelas 900 Cc,Aceite de Girasol Cañuelas 900 Cc,Chubut,Patagonia,Aceites,7792180001641,Cañuelas,Aceite de Girasol
136.0,Aceite de Girasol Cocinero 1.5 Lt,Aceite de Girasol Cocinero 1.5 Lt,Chubut,Patagonia,Aceites,7790060023684,Cocinero,Aceite de Girasol
95.0,Aceite de Girasol Cocinero 900 Ml,Aceite de Girasol Cocinero 900 Ml,Chubut,Patagonia,Aceites,7790070012050,Cocinero,Aceite de Girasol
167.0,Aceite de Girasol Natura 1.5 Lt,Aceite de Girasol Natura 1.5 Lt,Chubut,Patagonia,Aceites,7790272001029,Natura,Aceite de Girasol
105.0,Aceite de Girasol Natura 900 Ml,Aceite de Girasol Natura 900 Ml,Chubut,Patagonia,Aceites,7790272001005,Natura,Aceite de Girasol
216.0,Aceite de Maíz Arcor 900 Ml,Aceite de Maiz Arcor 900 Ml,Chubut,Patagonia,Aceites,7790580160807,Arcor,Aceite de Maíz
259.0,Aceite de Maíz Mazola 900 Ml,Aceite de Maiz Mazola 900 Ml,Chubut,Patagonia,Aceites,7790272000794,Mazola,Aceite de Maíz
112.0,Aceite Mezcla Cocinero 1.5 Lt,Aceite Mezcla Cocinero 1.5 Lt,Chubut,Patagonia,Aceites,7790070225023,Cocinero,Aceite Mezcla
100.0,Aceite Mezcla Ideal 1.5 Lt,Aceite Mezcla Ideal 1.5 Lt,Chubut,Patagonia,Aceites,7790070228406,Ideal,Aceite Mezcla
145.0,Aceite Rocío Vegetal Girasol en Aerosol Natura 120 Cc,Aceite Rocio Vegetal Girasol en Aerosol Natura 120 Cc,Chubut,Patagonia,Aceites,7790272000831,Natura,Otros Aceites
59.0,Aceitunas Verdes Clásicas Doy Pack Castell 100 Gr,Aceitunas Verdes Clasicas Doy Pack Castell 100 Gr,Chubut,Patagonia,"Encurtidos, Aceitunas y Pickles",7791675350011,Castell,Aceitunas Verdes
98.0,Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr,Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr,Chubut,Patagonia,"Encurtidos, Aceitunas y Pickles",7792070001102,Nucete,Aceitunas Verdes
227.0,Acelga Congelada Granja Del Sol 500 Gr,Acelga Congelada Granja Del Sol 500 Gr,Chubut,Patagonia,Vegetales,7790070032669,Granja del Sol,Vegetales
328.0,Acondicionador Balance Sedal 650 Ml,Acondicionador Balance Sedal 650 Ml,Chubut,Patagonia,Cuidado del Cabello,7791293031149,Sedal,Acondicionador
178.0,Acondicionador Brillo Luminoso Plusbelle 1 Lt,Acondicionador Brillo Luminoso Plusbelle 1 Lt,Chubut,Patagonia,Cuidado del Cabello,7790740502393,Plusbelle,Acondicionador
299.0,Acondicionador Ceramidas Sedal 650 Ml,Acondicionador Ceramidas Sedal 650 Ml,Chubut,Patagonia,Cuidado del Cabello,7791293027319,Sedal,Acondicionador
