Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
139.0,Aceite de Girasol Cañuelas 1.5 Lt,Aceite de Girasol Cañuelas 1.5 Lt,Misiones,NEA-NOA,Aceites,7792180001665,Cañuelas,Aceite de Girasol
87.0,Aceite de Girasol Cañuelas 900 Cc,Aceite de Girasol Cañuelas 900 Cc,Misiones,NEA-NOA,Aceites,7792180001641,Cañuelas,Aceite de Girasol
125.0,Aceite de Girasol Cocinero 1.5 Lt,Aceite de Girasol Cocinero 1.5 Lt,Misiones,NEA-NOA,Aceites,7790060023684,Cocinero,Aceite de Girasol
95.0,Aceite de Girasol Cocinero 900 Ml,Aceite de Girasol Cocinero 900 Ml,Misiones,NEA-NOA,Aceites,7790070012050,Cocinero,Aceite de Girasol
146.0,Aceite de Girasol Natura 1.5 Lt,Aceite de Girasol Natura 1.5 Lt,Misiones,NEA-NOA,Aceites,7790272001029,Natura,Aceite de Girasol
196.0,Aceite de Maíz Mazola 900 Ml,Aceite de Maiz Mazola 900 Ml,Misiones,NEA-NOA,Aceites,7790272000794,Mazola,Aceite de Maíz
111.0,Aceite Mezcla Cocinero 1.5 Lt,Aceite Mezcla Cocinero 1.5 Lt,Misiones,NEA-NOA,Aceites,7790070225023,Cocinero,Aceite Mezcla
127.0,Aceite Rocío Vegetal Girasol en Aerosol Natura 120 Cc,Aceite Rocio Vegetal Girasol en Aerosol Natura 120 Cc,Misiones,NEA-NOA,Aceites,7790272000831,Natura,Otros Aceites
52.0,Aceitunas Verdes Clásicas Doy Pack Castell 100 Gr,Aceitunas Verdes Clasicas Doy Pack Castell 100 Gr,Misiones,NEA-NOA,"Encurtidos, Aceitunas y Pickles",7791675350011,Castell,Aceitunas Verdes
86.0,Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr,Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr,Misiones,NEA-NOA,"Encurtidos, Aceitunas y Pickles",7792070001102,Nucete,Aceitunas Verdes
255.0,Acondicionador Balance Sedal 650 Ml,Acondicionador Balance Sedal 650 Ml,Misiones,NEA-NOA,Cuidado del Cabello,7791293031149,Sedal,Acondicionador
121.0,Acondicionador Brillo Luminoso Plusbelle 1 Lt,Acondicionador Brillo Luminoso Plusbelle 1 Lt,Misiones,NEA-NOA,Cuidado del Cabello,7790740502393,Plusbelle,Acondicionador
121.0,Acondicionador Frescura y Vitalidad Plusbelle 1 Lt,Acondicionador Frescura y Vitalidad Plusbelle 1 Lt,Misiones,NEA-NOA,Cuidado del Cabello,7790740502409,Plusbelle,Acondicionador
121.0,Acondicionador Nutrición Creme Plusbelle 1 Lt,Acondicionador Nutricion Creme Plusbelle 1 Lt,Misiones,NEA-NOA,Cuidado del Cabello,7790740502423,Plusbelle,Acondicionador
478.0,Acondicionador Reparación Total 5 Elvive 750 Cc,Acondicionador Reparacion Total 5 Elvive 750 Cc,Misiones,NEA-NOA,Cuidado del Cabello,7899026484627,Loreal,Acondicionador
478.0,Acondicionador Reparación Total 5 Extreme Elvive 750 Cc,Acondicionador Reparacion Total 5 Extreme Elvive 750 Cc,Misiones,NEA-NOA,Cuidado del Cabello,7898587772617,Loreal,Acondicionador
115.0,Afeitadora Verde Comfort 3 Action Sensitive Bic 2 Un,Afeitadora Verde Comfort 3 Action Sensitive Bic 2 Un,Misiones,NEA-NOA,Cuidado Facial,70330717527,Bic,Afeitado
31.0,Agua con Gas Córdoba 6 Un 2 Lt,Agua con Gas Cordoba 6 Un 2 Lt,Misiones,NEA-NOA,Aguas,7790639001952,Córdoba,Agua con Gas
31.0,Agua de Mesa sin Gas Córdoba 2 Lt,Agua de Mesa sin Gas Cordoba 2 Lt,Misiones,NEA-NOA,Aguas,7790639001969,Córdoba,Agua sin Gas
55.0,Agua Mineral con Gas Soda Aybal 2 Lt,Agua Mineral con Gas Soda Aybal 2 Lt,Misiones,NEA-NOA,Aguas,7790895007545,Aybal,Agua con Gas
70.0,Agua Mineral con Gas Villavicencio 1.5 Lt,Agua Mineral con Gas Villavicencio 1.5 Lt,Misiones,NEA-NOA,Aguas,7798062547788,Villavicencio,Agua con Gas
91.0,Agua Mineral Natural sin Gas en Bidón Agua de las Misiones 6 Lt,Agua Mineral Natural sin Gas en Bidon Agua de las Misiones 6 Lt,Misiones,NEA-NOA,Aguas,7798164280057,Agua de las Misiones,Agua sin Gas
70.0,Agua Mineral sin Gas Kin 2 Lt,Agua Mineral sin Gas Kin 2 Lt,Misiones,NEA-NOA,Aguas,7790895000119,Kin,Agua sin Gas
46.0,Agua Mineral sin Gas Nestlé Pureza Vital 1.5 Lt,Agua Mineral sin Gas Nestle Pureza Vital 1.5 Lt,Misiones,NEA-NOA,Aguas,7792799000905,Nestlé,Agua sin Gas
81.0,Agua Mineral sin Gas Villavicencio 2 Lt,Agua Mineral sin Gas Villavicencio 2 Lt,Misiones,NEA-NOA,Aguas,7790315000422,Villavicencio,Agua sin Gas
42.0,Agua Mineral sin Gas Villavicencio 500 Cc,Agua Mineral sin Gas Villavicencio 500 Cc,Misiones,NEA-NOA,Aguas,7790315000446,Villavicencio,Agua sin Gas
36.38,Agua Mineralizada sin Gas Cellier Favaloro 2 Lt,Agua Mineralizada sin Gas Cellier Favaloro 2 Lt,Misiones,NEA-NOA,Aguas,7790639002416,Cellier,Agua sin Gas
78.0,Agua Saborizada Manzana Roja sin Gas Sierra de los Padres 1.5 Lt,Agua Saborizada Manzana Roja sin Gas Sierra de los Padres 1.5 Lt,Misiones,NEA-NOA,Aguas,7798065730361,Sierra de los Padres,Agua Saborizada
90.0,Agua Saborizada Manzana sin Gas Aquarius 1.5 Lt,Agua Saborizada Manzana sin Gas Aquarius 1.5 Lt,Misiones,NEA-NOA,Aguas,7790895640483,Aquarius,Agua Saborizada
82.0,Agua Saborizada Manzana sin Gas Levité 1.5 Lt,Agua Saborizada Manzana sin Gas Levite 1.5 Lt,Misiones,NEA-NOA,Aguas,7798062548709,Levité,Agua Saborizada
38.0,Agua Saborizada Naranja Cellier Favaloro 1.5 Lt,Agua Saborizada Naranja Cellier Favaloro 1.5 Lt,Misiones,NEA-NOA,Aguas,7790639002478,Cellier,Agua Saborizada
38.0,Agua Saborizada Naranja Durazno Cellier Favaloro 1.5 Lt,Agua Saborizada Naranja Durazno Cellier Favaloro 1.5 Lt,Misiones,NEA-NOA,Aguas,7790639002430,Cellier,Agua Saborizada
90.0,Agua Saborizada Naranja sin Gas Aquarius 1.5 Lt,Agua Saborizada Naranja sin Gas Aquarius 1.5 Lt,Misiones,NEA-NOA,Aguas,7790895641237,Aquarius,Agua Saborizada
82.0,Agua Saborizada Naranja sin Gas Levité 1.5 Lt,Agua Saborizada Naranja sin Gas Levite 1.5 Lt,Misiones,NEA-NOA,Aguas,7798062548648,Levité,Agua Saborizada
78.0,Agua Saborizada Naranja sin Gas Sierra de los Padres 1.5 Lt,Agua Saborizada Naranja sin Gas Sierra de los Padres 1.5 Lt,Misiones,NEA-NOA,Aguas,7798065730323,Sierra de los Padres,Agua Saborizada
90.0,Agua Saborizada Pera sin Gas Aquarius 1.5 Lt,Agua Saborizada Pera sin Gas Aquarius 1.5 Lt,Misiones,NEA-NOA,Aguas,7790895640476,Aquarius,Agua Saborizada
66.0,Agua Saborizada Pomelo Baggio Fresh 1.5 Lt,Agua Saborizada Pomelo Baggio Fresh 1.5 Lt,Misiones,NEA-NOA,Aguas,7790036001579,Baggio,Agua Saborizada
90.0,Agua Saborizada Pomelo Rosado Aquarius 1.5 Lt,Agua Saborizada Pomelo Rosado Aquarius 1.5 Lt,Misiones,NEA-NOA,Aguas,7790895004049,Aquarius,Agua Saborizada
90.0,Agua Saborizada Pomelo sin Gas Aquarius 1.5 Lt,Agua Saborizada Pomelo sin Gas Aquarius 1.5 Lt,Misiones,NEA-NOA,Aguas,7790895640490,Aquarius,Agua Saborizada
82.0,Agua Saborizada Pomelo Sin Gas Levité 1.5 Lt,Agua Saborizada Pomelo Sin Gas Levite 1.5 Lt,Misiones,NEA-NOA,Aguas,7798062548679,Levité,Agua Saborizada
130.0,Agua sin Gas Baja en Sodio Kin 6.25 Lt,Agua sin Gas Baja en Sodio Kin 6.25 Lt,Misiones,NEA-NOA,Aguas,7790895010118,Kin,Agua sin Gas
67.0,Alcohol Etílico Bialcohol 250 Cc,Alcohol Etilico Bialcohol 250 Cc,Misiones,NEA-NOA,Productos Farmaceuticos ,7790139000462,Bialcohol,Alcohol
